ID,Timestamp,Gender,Like_it,Frequency,Menu,Pizza_size,Restaurants,Factors_Influencing,Satisfied,Size_awareness,Size_rating,Factors_Influencing _Size_,Quality_rating,Order_method,Brand,Reason_for_brand
1,2024/03/04 12:10:23 PM GMT+5:30,Male,YES,Occasionally,Chicken,8,Dominos,Quality and Quantity,Yes,Partial awareness,4,Appetite,4,Dine-in,Dominos,Quality
2,2024/03/04 12:13:11 PM GMT+5:30,Female,YES,Occasionally,Margherita,6,Dominos,Quality and Quantity,Yes,Partial awareness,4,No. of people,4,Dine-in,Dominos,Both
3,2024/03/04 1:41:19 PM GMT+5:30,Female,YES,Occasionally,Vegies,8,Dominos,Quality and Quantity,Yes,Partial awareness,4,No. of people,4,Delivery,Dominos,Both
4,2024/03/04 2:11:11 PM GMT+5:30,Female,YES,Occasionally,Chicken,8,Pizza express,Quality and Quantity,Yes,Partial awareness,4,No. of people,4,Delivery,Dominos,Both
5,2024/03/04 3:48:11 PM GMT+5:30,Male,YES,Occasionally,Margherita,8,Dominos,Taste,Yes,Partial awareness,4,Appetite,4,Dine-in,Dominos,Both
6,2024/03/04 3:54:52 PM GMT+5:30,Female,YES,Occasionally,Chicken,12,Pappa johns,Taste,Yes,"Yes, aware of all options",5,Appetite,5,Delivery,Dominos,Quality
7,2024/03/04 4:03:28 PM GMT+5:30,Female,YES,Occasionally,Other,6,Dominos,Taste,Yes,"Yes, aware of all options",3,No. of people,4,Delivery,Dominos,Both
8,2024/03/04 4:07:10 PM GMT+5:30,Female,YES,Occasionally,Chicken,6,Pizza hut,Quality and Quantity,Yes,Partial awareness,5,Occasion,5,Dine-in,Dominos,Both
9,2024/03/04 4:09:01 PM GMT+5:30,Female,YES,Occasionally,Chicken,8,Dominos,Taste,Yes,Partial awareness,4,No. of people,3,Takeout,Dominos,Quality
10,2024/03/04 4:10:43 PM GMT+5:30,Male,YES,Occasionally,Other,8,Pizza hut,Quality and Quantity,Yes,"Yes, aware of all options",4,Appetite,3,Dine-in,Dominos,Both
